pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001119,6,7:30,18:30,0,120,320
30001119,7,7:30,12:30,0,120,320
30001120,2,7:30,18:30,0,240,170
30001120,3,7:30,18:30,0,240,170
30001120,4,7:30,18:30,0,240,170
30001120,5,7:30,18:30,0,240,170
30001120,6,7:30,18:30,0,240,170
30001120,7,7:30,12:30,0,240,170
30001121,2,7:30,18:30,0,120,320
30001121,3,7:30,18:30,0,120,320
30001121,4,7:30,18:30,0,120,320
30001121,5,7:30,18:30,0,120,320
30001121,6,7:30,18:30,0,120,320
30001121,7,7:30,12:30,0,120,320
30001122,2,7:30,18:30,0,120,320
30001122,3,7:30,18:30,0,120,320
30001122,4,7:30,18:30,0,120,320
30001122,5,7:30,18:30,0,120,320
30001122,6,7:30,18:30,0,120,320
30001122,7,7:30,12:30,0,120,320
30001124,2,9:30,16:00,0,120,550
30001124,2,18:30,20:30,0,120,550
30001124,3,9:30,16:00,0,120,550
30001124,3,18:30,20:30,0,120,550
30001124,4,9:30,16:00,0,120,550
30001124,4,18:30,20:30,0,120,550
30001124,5,9:30,16:00,0,120,550
30001124,5,18:30,20:30,0,120,550
30001124,6,9:30,16:00,0,120,550
30001124,6,18:30,20:30,0,120,550
30001124,7,7:30,20:30,0,120,550
30001125,2,9:30,16:00,0,30,540
30001125,3,9:30,16:00,0,30,540
30001125,4,9:30,16:00,0,30,540
30001125,5,9:30,16:00,0,30,540
30001125,6,9:30,16:00,0,30,540
